Câu hỏi,LOẠI,DATASET
Bracket niềng răng được làm từ gì?,ENTY,TRAIN
chỉ nha khoa là gì?,ENTY,TRAIN
Abraham Lincoln là ai?,HUM.desc,TRAIN
Tony Stark là ai?,HUM.desc,TRAIN
Bruce Wayne là ai?,HUM.desc,TRAIN
Justin Bieber là ai?,HUM.desc,TRAIN
Taylor Swift là ai?,HUM.desc,TRAIN
Steve Jobs là ai?,HUM.desc,TRAIN
Trần Hưng Đạo là ai?,HUM.desc,TRAIN
Nguyễn Huệ là ai?,HUM.desc,TRAIN
Công ty nào có logo dấu swoosh?,HUM.group,TRAIN
"""Let it be"" là ca khúc của nhóm nhạc nào?",HUM.group,TRAIN
Trường đại học lâu đời nhất ở Anh Quốc?,HUM.group,TRAIN
Youtube thuộc sở hữu của công ty nào?,HUM.group,TRAIN
Công ty viễn thông lớn nhất Hoa Kỳ?,HUM.group,TRAIN
Người Việt Nam đầu tiên nhận giải thưởng Fields là ai?,HUM.ind,TRAIN
Ai là người bơi nhanh nhất thế giới?,HUM.ind,TRAIN
Ca sĩ nhận nhiều giải thưởng Grammy nhất hiện nay là ai?,HUM.ind,TRAIN
Ai là người sáng lập ra mạng xã hội Instagram?,HUM.ind,TRAIN
"Nhạc sĩ nào sáng tác bài ""Diễm xưa""?",HUM.ind,TRAIN
Tổng thống thứ 12 của Mỹ là ai?,HUM.ind,TRAIN
Hồ Tuyền Lâm ở đâu?,LOC,TRAIN
bảo tàng Louvre ở đâu?,LOC,TRAIN
trường Đại học Khoa học tự nhiên ở đâu?,LOC,TRAIN
đảo Hawaii ở đâu?,LOC,TRAIN
tháp đồng hồ Big Ben ở đâu?,LOC,TRAIN
kinh đô ánh sáng ở đâu?,LOC,TRAIN
trụ sở NASA ở đâu?,LOC,TRAIN
rừng Amazon thuộc nước nào?,LOC,TRAIN
tỉnh Bình Dương ở đâu?,LOC,TRAIN
thành phố ngàn hoa là ở đâu?,LOC.city,TRAIN
thành phố nào là thủ đô của Việt Nam?,LOC.city,TRAIN
thành phố nào đóng góp GDP nhiều nhất cả nước?,LOC.city,TRAIN
lễ hội hoa phượng đỏ diễn ra ở thành phố nào?,LOC.city,TRAIN
thành phố nào là thủ đô của xứ sở sương mù?,LOC.city,TRAIN
taxi màu vàng là hình ảnh thường thấy ở thành phố nào?,LOC.city,TRAIN
thành phố nào từng là kinh đô của Nhật Bản?,LOC.city,TRAIN
bún chả là món ăn đặc sản của thành phố nào?,LOC.city,TRAIN
tháp Eiffel ở thành phố nào?,LOC.city,TRAIN
diễn viên Benedict Cumberbatch là người nước nào?,LOC.country,TRAIN
nước nào tấn công Việt Nam năm 1858?,LOC.country,TRAIN
kênh đào Suez ở đâu?,LOC.country,TRAIN
nước nào nổi tiếng với kim tự tháp?,LOC.country,TRAIN
"""đất nước mặt trời mọc"" là nước nào?",LOC.country,TRAIN
nước nào có nhiệt độ lạnh nhất thế giới?,LOC.country,TRAIN
Mã bưu chính của TP.HCM là gì?,NUM,TRAIN
nhiệt độ của tia sét là bao nhiêu?,NUM,TRAIN
ngày của mẹ là khi nào?,NUM,TRAIN
máy bay có tốc độ nhanh nhất là bao nhiêu?,NUM,TRAIN
Abraham Lincoln là tổng thống thứ mấy của Mỹ?,NUM,TRAIN
Khối lượng trung bình của voi đồng cỏ châu Phi là bao nhiêu?,NUM,TRAIN
kích thước của 1 electron là bao nhiêu?,NUM,TRAIN
giá cổ phiếu của Apple là bao nhiêu?,NUM,TRAIN
ngày quốc tế lao động là ngày nào?,NUM.date,TRAIN
ngày sinh của Einstein?,NUM.date,TRAIN
ngày quốc khánh Mỹ là ngày nào?,NUM.date,TRAIN
Pháp xâm lược Việt Nam khi nào?,NUM.date,TRAIN
Trận chiến trên sông Bạch Đằng của Ngô Quyền xảy ra khi nào?,NUM.date,TRAIN
Apple thành lập khi nào?,NUM.date,TRAIN
lễ phục sinh là ngày nào?,NUM.date,TRAIN
sinh nhật của Taylor Swift?,NUM.date,TRAIN
Mỹ ném bom nguyên tử vào Nhật Bản khi nào?,NUM.date,TRAIN
không gian 4 chiều là gì?,SELECT,TRAIN
Louis Pastuer là ai?,SELECT,TRAIN
Albert Einstein là ai?,SELECT,TRAIN
Nikola Tesla là ai?,SELECT,TRAIN
pin li-ion là gì?,SELECT,TRAIN
động cơ điện xoay chiều là gì?,SELECT,TRAIN
sự kiện bão mặt trời 2012 là gì?,SELECT,TRAIN
gương được làm từ gì?,SELECT,TRAIN
UFO là gì?,SELECT,TRAIN
trung thu là ngày nào?,SELECT,TRAIN
ngân hàng thế giới viết tắt là gì,ABBR.abb,TRAIN
tổ chức Hợp tác kinh tế Châu á-Thái Bình Dương viết tắt là gì,ABBR.abb,TRAIN
viết tắt quỹ tiền tệ quốc tế,ABBR.abb,TRAIN
hiệp hội các nước đông nam á asean viết tắt là gì,ABBR.abb,TRAIN
quỹ nhi đồng liên hợp quốc viết tắt là gì?,ABBR.abb,TRAIN
who là tên viết tắt của tổ chức nào,ABBR.exp,TRAIN
WTO là tên viết tắt của to chức nào,ABBR.exp,TRAIN
apec là tên viết tắt của tổ chức nào,ABBR.exp,TRAIN
afc viết tắt của từ gì,ABBR.exp,TRAIN
imf là tên viết tắt của tổ chức nào,ABBR.exp,TRAIN
ASEAN là tên viết tắt của tổ chức nào,ABBR.exp,TRAIN
fifa là viết tắt của từ gì,ABBR.exp,TRAIN
chủ nghĩa tư bản là gì,DESC.def,TRAIN
chủ nghĩa cộng sản là gì,DESC.def,TRAIN
kênh đào là gì,DESC.def,TRAIN
chương trình học là gì,DESC.def,TRAIN
đồ án tốt nghiệp là gì,DESC.def,TRAIN
phương pháp biện chứng là gì,DESC.def,TRAIN
nghiệp là gì,DESC.def,TRAIN
quả báo là gì,DESC.def,TRAIN
khai phá dữ liệu là gì,DESC.def,TRAIN
khai thác văn bản là gì,DESC.def,TRAIN
thuật toán dijkstra hoạt động như thế nào,DESC.desc,TRAIN
thuật toán prim hoạt động như thế nào,DESC.desc,TRAIN
diễn biến trận điện biên phủ trên không linebacker ii,DESC.desc,TRAIN
chiếc iphone đầu tiên,DESC.desc,TRAIN
Nguyên tắc cấu tạo máy ảnh cơ,DESC.desc,TRAIN
động cơ v là gì,DESC.desc,TRAIN
bướm ngày là con gì,DESC.desc,TRAIN
hệ tiêu hóa giun đất,DESC.desc,TRAIN
làm sao để tham gia kì thi trung học phổ thông quốc gia việt nam,DESC.desc,TRAIN
tại sao xây dựng kênh đào panama,DESC.reason,TRAIN
tại sao Liên Xô tan rã,DESC.reason,TRAIN
điều gì tạo nên bão nhiệt đới,DESC.reason,TRAIN
tại sao voi ma mút tuyệt chủng,DESC.reason,TRAIN
điều gì dẫn đến sự sụp đổ của đế quốc Tây La Mã,DESC.reason,TRAIN
điều gì dẫn đến chiến tranh lạnh,DESC.reason,TRAIN
tại sao Bruce Lee qua đời,DESC.reason,TRAIN
điều gì dẫn tới khủng hoảng kinh tế thế giới năm 2008,DESC.reason,TRAIN
điều gì dẫn đến kỳ tích sông Hán,DESC.reason,TRAIN
tại sao hổ răng kiếm tuyệt chủng,DESC.reason,TRAIN
cách phân loại ô tô,ENTY,TRAIN
có bao nhiêu giống mèo trên thế giới,ENTY,TRAIN
mèo và sư tử có phải bà con không,ENTY,TRAIN
đồng euro được chính thức sử dụng ở nhiều nước eu vào thời gian nào,ENTY,TRAIN
cây sen đá có nguồn gốc từ đâu,ENTY,TRAIN
một hộp spam gồm những gì,ENTY,TRAIN
bánh mì việt nam có gì mà ngon nhất thế giới,ENTY,TRAIN
cristiano ronaldo hồi còn thi đấu ở manchester united,HUM.desc,TRAIN
thành tích của sir alex ferguson,HUM.desc,TRAIN
lối chơi của paul scholes,HUM.desc,TRAIN
ryan giggs đã thi đấu ở vị trí nào,HUM.desc,TRAIN
nhân vũ hưng đạo đại vương là ai,HUM.desc,TRAIN
trần quốc tuấn là ai,HUM.desc,TRAIN
nguyễn ái quốc là ai,HUM.desc,TRAIN
hồ chí minh là ai,HUM.desc,TRAIN
võ nguyên giáp là ai,HUM.desc,TRAIN
ai là ban nhạc trình bày bài hát numb,HUM.group,TRAIN
công ty nào sở hữu microsoft office,HUM.group,TRAIN
iphone là sản phẩm của công ty nào,HUM.group,TRAIN
vingroup là ai,HUM.group,TRAIN
coteccons là ai,HUM.group,TRAIN
ai là chủ sở hữu family mart,HUM.group,TRAIN
công ty nào tạo ra mạng xã hội gapo,HUM.group,TRAIN
xe máy wave alpha là của công ty nào,HUM.group,TRAIN
ai là người sáng lập ra facebook,HUM.ind,TRAIN
ai là người sáng lập ra google,HUM.ind,TRAIN
Ai phát minh ra bóng đèn,HUM.ind,TRAIN
Người phát minh ra điện xoay chiều,HUM.ind,TRAIN
ai là người giàu nhất thế giới,HUM.ind,TRAIN
người đầu tiên lên mặt trăng là ai,HUM.ind,TRAIN
người việt nam đầu tiên bay lên vũ trụ,HUM.ind,TRAIN
ai là người bóp nát quả cam mà không hay,HUM.ind,TRAIN
hồ thủy điện lớn nhất việt nam nằm ở đâu,LOC,TRAIN
nhà máy điện hạt nhân đầu tiên ở việt nam nằm ở đâu,LOC,TRAIN
vịnh cam ranh thuộc tỉnh nào,LOC,TRAIN
đảo phú quốc thuộc tỉnh nào,LOC,TRAIN
biên giới 3 nước việt nam lào campuchia nằm ở đâu,LOC,TRAIN
Tỉnh thành phố nào của nước ta là Ngã ba Đông Dương,LOC,TRAIN
hồ sâu nhất thế giới nằm ở đâu,LOC,TRAIN
kênh đào suez tắc ở đâu,LOC,TRAIN
thành phố nào trực thuộc trung ương,LOC.city,TRAIN
thành phố thuộc thành phố trực thuộc trung ương đầu tiên tại việt nam,LOC.city,TRAIN
phần mộ của cha bác hồ ở thành phố nào,LOC.city,TRAIN
di tích lịch sử chiến khu d nằm ở đâu,LOC.city,TRAIN
thành phố có khí hậu mát nhất việt nam,LOC.city,TRAIN
tuyến đường sắt metro nằm ở thành phố nào,LOC.city,TRAIN
tuyến đường sắt cát linh hà đông nằm ở thành phố nào,LOC.city,TRAIN
nguồn gốc của áo dài là quốc gia nào,LOC.country,TRAIN
bít tết là món ăn của quốc gia nào,LOC.country,TRAIN
cristiano ronaldo sinh ra ở quốc gia nào,LOC.country,TRAIN
paul scholes thi đấu ở quốc gia nào,LOC.country,TRAIN
eric cantona là người quốc gia nào,LOC.country,TRAIN
sir alex ferguson đến từ nước nào,LOC.country,TRAIN
quốc gia nào sáng tạo ra mì ăn liền,LOC.country,TRAIN
cân nặng của cá voi xanh,NUM,TRAIN
khối lượng của trái đất,NUM,TRAIN
vận tốc của ánh sáng,NUM,TRAIN
tốc độ nhanh nhất của con người,NUM,TRAIN
mỗi đội bóng đá có bao nhiêu người,NUM,TRAIN
ngoại hạng anh có bao nhiêu đội,NUM,TRAIN
paul scholes đã có bao nhiêu bàn thắng,NUM,TRAIN
ronaldo đã thi đấu cho mu bao nhiêu trận,NUM,TRAIN
tài sản của người giàu nhất thế giới là bao nhiêu,NUM,TRAIN
phim đoàn tàu vô tận đã kiếm được bao nhiêu tiền,NUM,TRAIN
Bruce Lee qua đời vào ngày nào,NUM.date,TRAIN
ngày khai sinh nước việt nam dân chủ cộng hòa,NUM.date,TRAIN
ngày cách mạng tháng 8 thành công,NUM.date,TRAIN
bác hồ mất năm bao nhiêu,NUM.date,TRAIN
ngày chiến thắng điện biên phủ,NUM.date,TRAIN
ngày giải phóng miền nam,NUM.date,TRAIN
ngày chiến thắng quân mông nguyên,NUM.date,TRAIN
ngày thành lập quân đội nhân dân việt nam,NUM.date,TRAIN
đội nào tham dự champion league nhiều nhất,SELECT,TRAIN
ai là chủ tịch nước hiện nay,SELECT,TRAIN
công ty mẹ của vinfast,SELECT,TRAIN
tòa nhà bitexco nằm ở đường nào,SELECT,TRAIN
đường hầm thủ thiêm dài bao nhiêu mét,SELECT,TRAIN
màn hình dẻo ra đời năm bao nhiêu,SELECT,TRAIN
ktm là hãng xe của nước nào,SELECT,TRAIN
approx là viết tắt của từ gì,ABBR.abb,TRAIN
apt là gì,ABBR.abb,TRAIN
ASAP là từ nào,ABBR.abb,TRAIN
min là từ chỉ thời gian gì,ABBR.abb,TRAIN
temp. là gì,ABBR.abb,TRAIN
FDIC là gì trong ngành ngân hàng,ABBR.abb,TRAIN
e.g là viết tắt của từ nào,ABBR.abb,TRAIN
expr. Là viết tắt của biểu thức nào,ABBR.exp,TRAIN
sqrt là căn hay mũ,ABBR.exp,TRAIN
a.c. là gì,ABBR.exp,TRAIN
sin là phép toán gì,ABBR.exp,TRAIN
cos là gì,ABBR.exp,TRAIN
bias chỉ đơn vị nào,ABBR.exp,TRAIN
epi là gì,ABBR.exp,TRAIN
biểu thức tổng tính gì,ABBR.exp,TRAIN
Anxiety là hiện tượng gì,DESC.def,TRAIN
civic responsibility là tình trạng như thế nào,DESC.def,TRAIN
hiện tượng kẹt xe là như thế nào,DESC.def,TRAIN
số nguyên là số được định nghĩa như thế nào,DESC.def,TRAIN
excel là phần mềm gì,DESC.def,TRAIN
youtube là trang web về gì,DESC.def,TRAIN
tháp effiel trông như thế nào,DESC.desc,TRAIN
cấu trúc kim tự tháp ra sao,DESC.desc,TRAIN
người khổng lồ tuyết to đến đâu,DESC.desc,TRAIN
nhận biết động vật họ mèo như thế nào,DESC.desc,TRAIN
cấu trúc của động vật giáp xác khác biệt ra sao,DESC.desc,TRAIN
bộ gen người việt cấu trúc như thế nào,DESC.desc,TRAIN
hồ nhân tạo được thiết kế như thế nào,DESC.desc,TRAIN
cá trê có đặc điểm gì khác biệt,DESC.desc,TRAIN
Lý do của cuộc Cách mạng tháng 10 Nga là gì,DESC.reason,TRAIN
Tại sao con người cần hoạt động,DESC.reason,TRAIN
Nguyên nhân rãnh rỗi gây ra vấn đề tâm lý,DESC.reason,TRAIN
Tại sao có sự khác biệt giữa các học sinh,DESC.reason,TRAIN
Nhà nước được hình thành vì nguyên căn nào,DESC.reason,TRAIN
Tại sao con người lại tập trung nhiều ở đồng bằng,DESC.reason,TRAIN
Tại sao biển xanh lại mặn,DESC.reason,TRAIN
mối liên kết giữa tâm linh và tôn giáo là gì,ENTY,TRAIN
có tồn tại sự liên quan giữa 2 loài động vật không ,ENTY,TRAIN
thuốc phiện là gì,ENTY,TRAIN
tại sao hổ lại có vằn,ENTY,TRAIN
cát có ở sa mạc không,ENTY,TRAIN
loài người thuộc loài nào,ENTY,TRAIN
biển báo giao thông là gì,ENTY,TRAIN
xe máy và xe lăn giống nhau không,ENTY,TRAIN
gạo là thực vật hay nấm,ENTY,TRAIN
hình dáng napoleon ra sao,HUM.desc,TRAIN
hình tượng của 1 vị vua thời xưa như thế nào,HUM.desc,TRAIN
lãnh chúa phong kiến ở châu Âu ăn mặc gì,HUM.desc,TRAIN
nhận biết người gốc Á ở đặc điểm nào,HUM.desc,TRAIN
phân biệt người gốc Phi theo phương diện gì,HUM.desc,TRAIN
người sống ở sa mạc có da ra sao,HUM.desc,TRAIN
người có tướng mạo như thế nào là tốt,HUM.desc,TRAIN
con người thời phong kiến trông ra sao,HUM.desc,TRAIN
đặc điểm để nhận biết vận động viên bơi lội ở đâu,HUM.desc,TRAIN
tổ chức FIFA về môn thể thao nào,HUM.group,TRAIN
UNICEF hoạt động chủ yếu lĩnh vực gì,HUM.group,TRAIN
Hội khuyết tật chủ yếu về nhóm người nào,HUM.group,TRAIN
Mục đích của hội chữ thập đỏ là gì,HUM.group,TRAIN
Hội sinh viên ở các trường đại học là gì,HUM.group,TRAIN
Mục đích của hội phi lợi nhuận là gì,HUM.group,TRAIN
Mục đích của hội anti là gì,HUM.group,TRAIN
Bác Hồ có ảnh hưởng gì đến Cách mạng tháng 8 1945 ,HUM.ind,TRAIN
Alexander Đại Đế là ai,HUM.ind,TRAIN
Đặng Lê Nguyên Vũ có phải là vua cà phê,HUM.ind,TRAIN
Vua bóng đá là ai,HUM.ind,TRAIN
Messi hiện đang chơi cho đội bóng nào,HUM.ind,TRAIN
Jordan là cầu thủ bóng rổ hay khúc côn cầu,HUM.ind,TRAIN
Ford là ông chủ của hãng xe nào,HUM.ind,TRAIN
Trần Đông A là bác sĩ nổi tiếng Việt Nam thuộc chuyên khoa nào,HUM.ind,TRAIN
Thủ đô Việt Nam nằm ở miền nào,LOC,TRAIN
Châu Mĩ nằm giữa 2 vùng biển nào,LOC,TRAIN
Vịnh Bắc bộ nào ở đâu,LOC,TRAIN
Vị trí đường xích đạo ở đâu,LOC,TRAIN
Bang California nằm ở bờ tây hay đông nước mĩ,LOC,TRAIN
Dân gốc Phi tập trung chủ yếu tại châu lục nào,LOC,TRAIN
Dãy Himalaya nằm ở đâu,LOC,TRAIN
Bắc Băng Cực nằm ở đâu,LOC,TRAIN
thành phố New York thuộc bang nào,LOC.city,TRAIN
Hà Nội thuộc thành phố thủ đô nước nào,LOC.city,TRAIN
Bangkok là thành phố của nước nào,LOC.city,TRAIN
thành phố Singapore thuộc vùng nào,LOC.city,TRAIN
Vienchan là thành phố hay tên 1 nước,LOC.city,TRAIN
Paris là thành phố thuộc châu lục nào,LOC.city,TRAIN
TP Hồ Chí Minh thuộc miền nào ở Việt Nam,LOC.city,TRAIN
Thành phố nổi tiếng ở Anh là thành phố nào,LOC.city,TRAIN
Quốc gia nào giàu nhất châu Á,LOC.country,TRAIN
Quốc gia nào đông dân nhất thế giới,LOC.country,TRAIN
Việt Nam nằm ở đâu,LOC.country,TRAIN
Hàn Quốc thuộc Đông Á hay Đông Nam Á,LOC.country,TRAIN
Brazil là nước thuộc châu lục nào,LOC.country,TRAIN
Nước nào ở châu Âu không giáp biển,LOC.country,TRAIN
Nước nào ở Đông Nam Á không có hải đảo,LOC.country,TRAIN
Số pi có bao nhiêu số thập phân,NUM,TRAIN
Số esilon có giá trị bao nhiêu,NUM,TRAIN
Hằng số hấp dẫn G có giá trị là gì,NUM,TRAIN
giá trị của căn bậc 2 là bao nhiêu,NUM,TRAIN
tốc độ ánh sáng đo được là bao nhiêu,NUM,TRAIN
số avogadro có giá trị bao nhiêu,NUM,TRAIN
hằng số khí lớn cỡ nào,NUM,TRAIN
khối lượng Fe quy ra kg là bao nhiêu,NUM,TRAIN
Giá trị khả năng thấm của không gian là bao nhiêu,NUM,TRAIN
Ngày nào là ngày bắt đầu chiến tranh thế giới I,NUM.date,TRAIN
Ngày nào là ngày kết thúc chiến tranh thế giới I,NUM.date,TRAIN
Ngày nào là ngày bắt đầu chiến tranh thế giới II,NUM.date,TRAIN
Ngày nào là ngày kết thúc chiến tranh thế giới II,NUM.date,TRAIN
Ngày kỉ niệm thành lập Quân đội Nhân dân Việt Nam là ngày nào,NUM.date,TRAIN
Ngày nào trong năm diễn ra Tết nguyên đán,NUM.date,TRAIN
Ngày mấy bắt đầu năm mới,NUM.date,TRAIN
Ngày nào kết thúc 1 năm,NUM.date,TRAIN
Sao hỏa có cát không,SELECT,TRAIN
Mặt trời hình gì,SELECT,TRAIN
Con người có mấy chi,SELECT,TRAIN
Cách hoạt đọng của máy tính như thế nào,SELECT,TRAIN
Màu RGB trông ra sao,SELECT,TRAIN
Màn hình OLED và QLED khác gì,SELECT,TRAIN
Đi du lịch cần mang tiền theo không,SELECT,TRAIN
Đua xe thì có nên đội mũ bảo hiểm,SELECT,TRAIN
Cách xây dựng 1 ngôi nhà như thế nào,SELECT,TRAIN
Làm sao để chạy nhanh,SELECT,TRAIN
Trường Đại học Bách khoa viết tắt là gì?,ABBR.abb,TRAIN
Kí hiệu của nguyên tố Bạc là gì?,ABBR.abb,TRAIN
Game Liên Minh Huyền Thoại viết tắt là gì?,ABBR.abb,TRAIN
Hội Liên hiệp Phụ nữ Việt Nam viết tắt là gì?,ABBR.abb,TRAIN
Tổ chức Liên hiệp Quốc viết tắt là gì?,ABBR.abb,TRAIN
"Viết tắt của chế độ chơi ""Tất cả ngẫu nhiên, tất cả đường giữa"" trong game Liên mình huyên thoại là gì?",ABBR.abb,TRAIN
Người ta thường viết tắt facebook là gì?,ABBR.abb,TRAIN
Hội đồng Bảo an Liên Hiệp Quốc viết tắt là gì?,ABBR.abb,TRAIN
Viết tắt của Tổ chức Thương mại Thế giới là gì?,ABBR.abb,TRAIN
Trường Đại học Khoa học Xã hội và Nhân văn viết tắt là gì?,ABBR.abb,TRAIN
